dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift_ro,45.8,59.58,80.54
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib,70.33,59.58,72.38
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib_ro,49.07,59.58,73.46
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift,81.57,59.58,73.2
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift_ro,65.98,59.58,81.89
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf,57.05,59.58,71.84
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf_ro,40.44,59.58,82.7
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift,52.11,59.58,65.49
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift_ro,46.88,59.58,81.63
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib,72.99,56.23,69.06
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_ro,63.76,56.23,78.84
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift,69.99,56.23,66.82
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift_ro,63.84,56.23,80.34
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib,78.52,56.23,72.2
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_ro,64.51,56.23,79.36
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift,79.14,56.23,72.14
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift_ro,65.96,56.23,81.81
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib,79.88,56.23,72.94
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_ro,64.65,56.23,79.4
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift,81.17,56.23,72.98
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift_ro,66.34,56.23,81.94
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib,80.17,56.23,73.11
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_ro,64.68,56.23,79.4
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift,81.64,56.23,73.17
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift_ro,66.43,56.23,81.96
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib,59.91,56.32,65.85
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_ro,48.14,56.32,72.72
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift,69.97,56.32,66.96
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift_ro,63.76,56.32,80.33
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib,67.08,56.32,70.46
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_ro,48.89,56.32,73.4
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_shift,79.26,56.32,72.25
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_shift_ro,65.55,56.32,81.74
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib,69.6,56.32,71.95
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_ro,49.04,56.32,73.45
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_shift,81.16,56.32,73.02
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_shift_ro,65.89,56.32,81.87
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib,70.34,56.32,72.39
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_ro,49.07,56.32,73.46
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_shift,81.58,56.32,73.2
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_shift_ro,65.97,56.32,81.89
standard_benchmark,DepthPro-vitl,10,calib,72.16,110.11,68.88
standard_benchmark,DepthPro-vitl,10,calib_ro,60.94,110.11,77.43
standard_benchmark,DepthPro-vitl,10,calib_shift,69.19,110.11,66.31
standard_benchmark,DepthPro-vitl,10,calib_shift_ro,63.08,110.11,79.38
standard_benchmark,DepthPro-vitl,10,mdecalib,24.22,110.11,54.41
standard_benchmark,DepthPro-vitl,10,mdecalib_ro,21.87,110.11,66.94
standard_benchmark,DepthPro-vitl,10,mdecalib_shift,24.12,110.11,53.65
standard_benchmark,DepthPro-vitl,10,mdecalib_shift_ro,24.91,110.11,73.2
standard_benchmark,DepthPro-vitl,10,sf,56.86,110.11,65.84
standard_benchmark,DepthPro-vitl,10,sf_ro,50.57,110.11,83.93
standard_benchmark,DepthPro-vitl,10,sf_shift,24.03,110.11,35.59
standard_benchmark,DepthPro-vitl,10,sf_shift_ro,32.92,110.11,58.85
standard_benchmark,DepthPro-vitl,100,calib,77.94,110.11,72.17
standard_benchmark,DepthPro-vitl,100,calib_ro,61.69,110.11,78.02
standard_benchmark,DepthPro-vitl,100,calib_shift,78.47,110.11,71.96
standard_benchmark,DepthPro-vitl,100,calib_shift_ro,65.47,110.11,81.15
