dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
ambiguous,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift,71.5,63.94,68.41
ambiguous,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift_ro,60.21,63.94,76.16
ambiguous,DepthAnythingV3-DA3MONO-LARGE,500,sf,29.89,63.94,62.77
ambiguous,DepthAnythingV3-DA3MONO-LARGE,500,sf_ro,25.24,63.94,66.22
ambiguous,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift,33.77,63.94,52.47
ambiguous,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift_ro,31.62,63.94,62.5
ambiguous,DepthAnythingV3-DA3MONO-LARGE,1000,calib,30.46,63.94,60.95
ambiguous,DepthAnythingV3-DA3MONO-LARGE,1000,calib_ro,13.95,63.94,50.66
ambiguous,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift,72.7,63.94,68.79
ambiguous,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift_ro,60.42,63.94,76.2
ambiguous,DepthAnythingV3-DA3MONO-LARGE,1000,sf,30.23,63.94,63.86
ambiguous,DepthAnythingV3-DA3MONO-LARGE,1000,sf_ro,25.23,63.94,66.34
ambiguous,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift,36.79,63.94,55.41
ambiguous,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift_ro,32.7,63.94,64.18
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib,54.24,70.07,60.31
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_ro,48.51,70.07,64.37
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift,55.44,70.07,59.74
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift_ro,52.54,70.07,72.3
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib,62.82,70.07,65.74
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_ro,50.53,70.07,65.63
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift,66.93,70.07,66.71
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift_ro,55.12,70.07,74.12
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib,65.41,70.07,67.39
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_ro,50.88,70.07,65.8
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift,70.42,70.07,68.18
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift_ro,55.87,70.07,74.26
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib,66.18,70.07,67.89
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_ro,50.91,70.07,65.8
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift,71.52,70.07,68.62
ambiguous,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift_ro,56.08,70.07,74.28
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib,20.35,76.22,47.48
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_ro,13.53,76.22,48.15
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift,57.67,76.22,60.54
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift_ro,56.85,76.22,74.59
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib,24.56,76.22,54.66
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_ro,13.95,76.22,50.27
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_shift,67.82,76.22,66.86
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_shift_ro,59.39,76.22,76.06
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib,28.21,76.22,58.95
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_ro,13.89,76.22,50.62
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_shift,71.5,76.22,68.41
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_shift_ro,60.21,76.22,76.16
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib,30.45,76.22,60.95
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_ro,13.95,76.22,50.66
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_shift,72.72,76.22,68.79
ambiguous,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_shift_ro,60.42,76.22,76.2
ambiguous,DepthPro-vitl,10,calib,56.57,215.75,61.06
ambiguous,DepthPro-vitl,10,calib_ro,50.63,215.75,67.02
ambiguous,DepthPro-vitl,10,calib_shift,55.55,215.75,59.95
ambiguous,DepthPro-vitl,10,calib_shift_ro,50.4,215.75,75.15
ambiguous,DepthPro-vitl,10,mdecalib,16.56,215.75,48.3
ambiguous,DepthPro-vitl,10,mdecalib_ro,16.31,215.75,58.36
ambiguous,DepthPro-vitl,10,mdecalib_shift,19.27,215.75,51.6
ambiguous,DepthPro-vitl,10,mdecalib_shift_ro,20.8,215.75,70.69
ambiguous,DepthPro-vitl,10,sf,51.96,215.75,61.44
ambiguous,DepthPro-vitl,10,sf_ro,46.88,215.75,77.71
ambiguous,DepthPro-vitl,10,sf_shift,10.71,215.75,26.39
ambiguous,DepthPro-vitl,10,sf_shift_ro,17.49,215.75,38.84
ambiguous,DepthPro-vitl,100,calib,64.3,215.75,65.92
ambiguous,DepthPro-vitl,100,calib_ro,51.82,215.75,68.29
ambiguous,DepthPro-vitl,100,calib_shift,65.93,215.75,66.46
ambiguous,DepthPro-vitl,100,calib_shift_ro,52.49,215.75,76.53
ambiguous,DepthPro-vitl,100,mdecalib,19.65,215.75,54.2
ambiguous,DepthPro-vitl,100,mdecalib_ro,16.98,215.75,59.75
ambiguous,DepthPro-vitl,100,mdecalib_shift,22.81,215.75,58.06
ambiguous,DepthPro-vitl,100,mdecalib_shift_ro,21.68,215.75,72.25
ambiguous,DepthPro-vitl,100,sf,59.02,215.75,67.07
ambiguous,DepthPro-vitl,100,sf_ro,48.03,215.75,79.49
ambiguous,DepthPro-vitl,100,sf_shift,22.35,215.75,43.7
ambiguous,DepthPro-vitl,100,sf_shift_ro,25.38,215.75,57.4
ambiguous,DepthPro-vitl,500,calib,66.39,215.75,67.34
ambiguous,DepthPro-vitl,500,calib_ro,51.99,215.75,68.34
ambiguous,DepthPro-vitl,500,calib_shift,69.31,215.75,68.04
ambiguous,DepthPro-vitl,500,calib_shift_ro,53.46,215.75,76.68
ambiguous,DepthPro-vitl,500,mdecalib,21.02,215.75,56.95
ambiguous,DepthPro-vitl,500,mdecalib_ro,17.18,215.75,59.95
