group,dataset,mde,A.Rel,d1,A.Rel_si,d1_si,A.Rel_ssi,d1_ssi
standard_benchmark,scannetpp,Metric3DV2Calib-vit_giant2,132.46997238118433,0.4763434537281618,6.035977857370412,96.40713574587402,6.540949695913385,94.04567395373405
standard_benchmark,scannetpp,Metric3DV2Calib-vit_large,135.1638997201242,0.4625026356425857,6.020575754261371,95.97052236919794,6.929881648059326,93.93992533387849
standard_benchmark,scannetpp,Metric3DV2Calib-vit_small,148.09381636311707,0.40756243596224573,6.509712444324324,94.90521599058152,5.541974921467487,96.11777634870299
standard_benchmark,scannetpp,MoGeV1-moge-vitl,36.26378480975454,28.639296036521404,4.8878891812824525,96.36731028922712,4.40280762305458,96.98619076917912
standard_benchmark,scannetpp,MoGeV1Calib-moge-vitl,35.12123511497094,27.14537683841927,4.7852909441174925,96.38694667243806,4.402796725791362,96.98618804486571
standard_benchmark,scannetpp,MoGeV2-moge-2-vitl,7.781262537586098,95.8477156308536,4.15209222366007,97.16465231164861,3.904930386732301,97.39946325486984
standard_benchmark,scannetpp,MoGeV2Calib-moge-2-vitl,6.237310498711539,96.59463865936908,4.247574330305049,97.11866952919837,3.9049380749050413,97.39945863835341
standard_benchmark,scannetpp,Pi3-Pi3X,12.617981721932997,85.90513891170394,4.38429262444806,96.6906607489014,4.048173678817941,97.11119469229018
standard_benchmark,scannetpp,Pi3Calib-Pi3X,10.339826699358776,90.52767191288554,4.247198182933443,96.73127292655097,3.984559404883447,97.12203016119894
standard_benchmark,scannetpp,UniDepth1-cnvnxtl,14.34681188024563,85.47576562916159,7.833606514900144,93.437702602613,6.578367505959431,95.27434716914703
standard_benchmark,scannetpp,UniDepth1-vitl14,23.882208467041185,65.0878919089004,6.48674270760793,95.44418634061715,5.222448078735711,96.64745724067507
standard_benchmark,scannetpp,UniDepth1Calib-cnvnxtl,11.791399017021254,88.08129446336449,7.706870281601784,93.52070223284399,6.569408540061193,95.25921254013149
standard_benchmark,scannetpp,UniDepth1Calib-vitl14,18.49736637243478,77.86553305874429,6.338984878427574,95.53795942333896,5.209020679456876,96.63315777809356
standard_benchmark,scannetpp,UniDepth2-vitb14,7.782844005599693,94.56373069670289,4.941613375085958,96.46582095330356,4.484345262856752,97.00498999831346
standard_benchmark,scannetpp,UniDepth2-vitl14,6.464081967438458,96.08120604706313,4.295864095494362,96.99415759615142,4.031598218976154,97.22950678215224
standard_benchmark,scannetpp,UniDepth2-vits14,10.107322943630399,90.90227122384367,6.008184085454159,95.6569674946952,5.403641731432524,96.4133253160167
standard_benchmark,scannetpp,UniDepth2Calib-vitb14,7.6830776702178625,94.62628567649752,4.939535085230649,96.46474634623638,4.483878676550087,97.00514841806063
standard_benchmark,scannetpp,UniDepth2Calib-vitl14,6.534284801846903,96.05035832017154,4.302054130651367,96.99054304025324,4.024095700296551,97.23094317302542
standard_benchmark,scannetpp,UniDepth2Calib-vits14,9.65915570201762,91.40625124181865,5.9917061213793055,95.65844526397781,5.408097938116113,96.40723039007302
standard_benchmark,scannetpp,UniK3D-vitl,7.100362434712307,95.93644864132678,4.258845178701157,97.02973403462386,3.961936281773977,97.28297927246311
