dataset,mde,iters,solver,pose_mAA_10,median_pose_err,median_f_err,mean_mde_runtime,mean_runtime,mean_inliers
sintel,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_ro,74.96802,0.835147,0.0,40.763493,10.512225,0.782039
sintel,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_ro,68.951687,1.472337,0.449316,40.763493,18.690494,0.782965
sintel,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift_ro,65.616298,1.459349,0.0,40.763493,16.993534,0.773568
sintel,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift_ro,63.320833,2.137957,0.559079,40.763493,40.918613,0.768104
sintel,DepthAnythingV3-DA3MONO-LARGE,10,calib,82.993188,0.614825,0.0,40.457317,40.851411,0.765304
sintel,DepthAnythingV3-DA3MONO-LARGE,10,sf,76.236561,1.198322,0.244449,40.457317,48.079838,0.75638
sintel,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift,83.081733,0.422954,0.0,40.457317,40.35722,0.783642
sintel,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift,61.826848,1.87164,0.466745,40.457317,46.852892,0.611908
sintel,DepthAnythingV3-DA3MONO-LARGE,10,calib_ro,74.722434,0.836526,0.0,40.457317,2.895719,0.773214
sintel,DepthAnythingV3-DA3MONO-LARGE,10,sf_ro,66.674894,1.583244,0.490751,40.457317,4.30657,0.749037
sintel,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift_ro,65.196533,1.602872,0.0,40.457317,6.46583,0.754878
sintel,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift_ro,58.869797,2.616801,0.643429,40.457317,9.494247,0.666154
sintel,DepthAnythingV3-DA3MONO-LARGE,100,calib,86.297184,0.512911,0.0,40.457317,64.689816,0.806414
sintel,DepthAnythingV3-DA3MONO-LARGE,100,sf,81.008851,1.006992,0.20862,40.457317,70.942722,0.804932
sintel,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift,86.679965,0.354951,0.0,40.457317,62.467796,0.817795
sintel,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift,71.703932,0.892517,0.286936,40.457317,74.979248,0.757832
sintel,DepthAnythingV3-DA3MONO-LARGE,100,calib_ro,74.788826,0.840914,0.0,40.457317,4.917022,0.776627
sintel,DepthAnythingV3-DA3MONO-LARGE,100,sf_ro,68.685125,1.518565,0.471598,40.457317,7.529408,0.776724
sintel,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift_ro,66.313059,1.453463,0.0,40.457317,9.80098,0.772093
sintel,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift_ro,63.03932,2.193526,0.596129,40.457317,15.571897,0.754802
sintel,DepthAnythingV3-DA3MONO-LARGE,500,calib,86.916711,0.493963,0.0,40.457317,90.417574,0.819966
sintel,DepthAnythingV3-DA3MONO-LARGE,500,sf,82.013645,0.973681,0.198334,40.457317,91.281816,0.817854
sintel,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift,87.648911,0.33735,0.0,40.457317,85.105124,0.824687
sintel,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift,75.049643,0.703125,0.242575,40.457317,106.499199,0.797329
sintel,DepthAnythingV3-DA3MONO-LARGE,500,calib_ro,74.760716,0.843262,0.0,40.457317,7.823718,0.777563
sintel,DepthAnythingV3-DA3MONO-LARGE,500,sf_ro,68.728803,1.526133,0.471376,40.457317,12.511175,0.778323
sintel,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift_ro,66.137525,1.455626,0.0,40.457317,13.363513,0.773359
sintel,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift_ro,63.073672,2.197343,0.599924,40.457317,27.895263,0.76317
sintel,DepthAnythingV3-DA3MONO-LARGE,1000,calib,86.784662,0.487716,0.0,40.457317,108.728954,0.822949
sintel,DepthAnythingV3-DA3MONO-LARGE,1000,sf,82.247457,0.92116,0.194796,40.457317,104.425928,0.82198
sintel,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift,87.87296,0.32345,0.0,40.457317,101.265102,0.826284
sintel,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift,76.058582,0.618898,0.221314,40.457317,127.806385,0.806668
sintel,DepthAnythingV3-DA3MONO-LARGE,1000,calib_ro,74.761718,0.843262,0.0,40.457317,10.552934,0.777692
sintel,DepthAnythingV3-DA3MONO-LARGE,1000,sf_ro,68.726826,1.525498,0.471376,40.457317,17.832441,0.778507
sintel,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift_ro,65.965083,1.473182,0.0,40.457317,16.823642,0.773713
sintel,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift_ro,63.07103,2.228012,0.601926,40.457317,41.69528,0.76458
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib,85.557843,0.460566,0.0,46.749142,38.200914,0.786537
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift,82.053947,0.495744,0.0,46.749142,47.305022,0.773037
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_ro,74.985938,0.820755,0.0,46.749142,2.940735,0.778503
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift_ro,64.817664,1.63542,0.0,46.749142,7.521001,0.75754
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib,87.527014,0.406234,0.0,46.749142,61.469143,0.813144
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift,86.455542,0.409025,0.0,46.749142,71.754239,0.816135
sintel,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_ro,74.955312,0.835125,0.0,46.749142,5.146235,0.781745
