dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift_ro,45.84,65.24,47.91
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib,55.69,65.24,62.93
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_ro,40.68,65.24,45.08
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift,62.24,65.24,63.38
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift_ro,49.17,65.24,50.3
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib,58.08,65.24,64.84
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_ro,40.94,65.24,45.27
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift,64.87,65.24,65.06
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift_ro,50.0,65.24,50.54
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib,58.75,65.24,65.35
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_ro,40.96,65.24,45.29
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift,65.6,65.24,65.49
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift_ro,50.09,65.24,50.65
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib,30.08,69.43,50.1
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_ro,18.66,69.43,35.77
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift,56.77,69.43,57.6
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift_ro,51.55,69.43,50.99
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib,36.38,69.43,57.93
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_ro,19.97,69.43,37.59
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_shift,64.07,69.43,63.78
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_shift_ro,54.28,69.43,53.34
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib,39.5,69.43,61.6
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_ro,20.14,69.43,37.73
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_shift,66.13,69.43,65.16
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,500,calib_shift_ro,54.99,69.43,53.48
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib,40.76,69.43,62.86
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_ro,20.21,69.43,37.74
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_shift,66.89,69.43,65.59
illusion,DepthAnythingV3Calib-DA3MONO-LARGE,1000,calib_shift_ro,54.89,69.43,53.51
illusion,DepthPro-vitl,10,calib,51.28,218.7,58.19
illusion,DepthPro-vitl,10,calib_ro,43.22,218.7,46.14
illusion,DepthPro-vitl,10,calib_shift,55.9,218.7,56.58
illusion,DepthPro-vitl,10,calib_shift_ro,49.02,218.7,50.31
illusion,DepthPro-vitl,10,mdecalib,19.6,218.7,45.17
illusion,DepthPro-vitl,10,mdecalib_ro,18.82,218.7,42.04
illusion,DepthPro-vitl,10,mdecalib_shift,21.15,218.7,44.91
illusion,DepthPro-vitl,10,mdecalib_shift_ro,21.69,218.7,46.62
illusion,DepthPro-vitl,10,sf,46.48,218.7,55.99
illusion,DepthPro-vitl,10,sf_ro,41.34,218.7,55.38
illusion,DepthPro-vitl,10,sf_shift,14.89,218.7,22.57
illusion,DepthPro-vitl,10,sf_shift_ro,17.85,218.7,27.14
illusion,DepthPro-vitl,100,calib,56.48,218.7,63.27
illusion,DepthPro-vitl,100,calib_ro,44.92,218.7,47.58
illusion,DepthPro-vitl,100,calib_shift,63.02,218.7,63.35
illusion,DepthPro-vitl,100,calib_shift_ro,52.05,218.7,52.73
illusion,DepthPro-vitl,100,mdecalib,22.77,218.7,50.77
illusion,DepthPro-vitl,100,mdecalib_ro,19.71,218.7,43.5
illusion,DepthPro-vitl,100,mdecalib_shift,24.63,218.7,51.78
illusion,DepthPro-vitl,100,mdecalib_shift_ro,22.51,218.7,49.42
illusion,DepthPro-vitl,100,sf,53.53,218.7,63.17
illusion,DepthPro-vitl,100,sf_ro,43.75,218.7,57.75
illusion,DepthPro-vitl,100,sf_shift,31.26,218.7,44.33
illusion,DepthPro-vitl,100,sf_shift_ro,26.24,218.7,44.11
illusion,DepthPro-vitl,500,calib,58.17,218.7,64.92
illusion,DepthPro-vitl,500,calib_ro,45.16,218.7,47.67
illusion,DepthPro-vitl,500,calib_shift,65.41,218.7,65.03
illusion,DepthPro-vitl,500,calib_shift_ro,52.79,218.7,52.98
illusion,DepthPro-vitl,500,mdecalib,23.22,218.7,53.04
illusion,DepthPro-vitl,500,mdecalib_ro,20.0,218.7,43.64
illusion,DepthPro-vitl,500,mdecalib_shift,25.69,218.7,53.68
illusion,DepthPro-vitl,500,mdecalib_shift_ro,22.69,218.7,49.64
illusion,DepthPro-vitl,500,sf,55.46,218.7,65.08
illusion,DepthPro-vitl,500,sf_ro,43.81,218.7,58.1
illusion,DepthPro-vitl,500,sf_shift,39.59,218.7,53.42
illusion,DepthPro-vitl,500,sf_shift_ro,29.12,218.7,48.57
illusion,DepthPro-vitl,1000,calib,58.61,218.7,65.44
illusion,DepthPro-vitl,1000,calib_ro,45.15,218.7,47.62
illusion,DepthPro-vitl,1000,calib_shift,66.11,218.7,65.38
illusion,DepthPro-vitl,1000,calib_shift_ro,53.04,218.7,53.06
illusion,DepthPro-vitl,1000,mdecalib,23.77,218.7,53.96
illusion,DepthPro-vitl,1000,mdecalib_ro,20.09,218.7,43.64
illusion,DepthPro-vitl,1000,mdecalib_shift,25.91,218.7,54.32
illusion,DepthPro-vitl,1000,mdecalib_shift_ro,22.88,218.7,49.67
illusion,DepthPro-vitl,1000,sf,56.03,218.7,65.61
illusion,DepthPro-vitl,1000,sf_ro,43.83,218.7,58.17
illusion,DepthPro-vitl,1000,sf_shift,42.38,218.7,56.21
illusion,DepthPro-vitl,1000,sf_shift_ro,30.13,218.7,49.86
illusion,DepthProCalib-vitl,10,calib,51.25,207.54,58.17
illusion,DepthProCalib-vitl,10,calib_ro,43.1,207.54,46.14
illusion,DepthProCalib-vitl,10,calib_shift,56.14,207.54,56.58
illusion,DepthProCalib-vitl,10,calib_shift_ro,49.08,207.54,50.21
illusion,DepthProCalib-vitl,100,calib,56.38,207.54,63.3
illusion,DepthProCalib-vitl,100,calib_ro,44.84,207.54,47.56
illusion,DepthProCalib-vitl,100,calib_shift,63.16,207.54,63.34
illusion,DepthProCalib-vitl,100,calib_shift_ro,52.01,207.54,52.76
illusion,DepthProCalib-vitl,500,calib,58.13,207.54,64.91
illusion,DepthProCalib-vitl,500,calib_ro,45.23,207.54,47.64
illusion,DepthProCalib-vitl,500,calib_shift,65.38,207.54,64.96
illusion,DepthProCalib-vitl,500,calib_shift_ro,52.67,207.54,52.97
illusion,DepthProCalib-vitl,1000,calib,58.57,207.54,65.41
illusion,DepthProCalib-vitl,1000,calib_ro,45.24,207.54,47.61
illusion,DepthProCalib-vitl,1000,calib_shift,66.1,207.54,65.35
illusion,DepthProCalib-vitl,1000,calib_shift_ro,52.93,207.54,53.04
illusion,InfiniDepth-vitl,10,calib,32.39,536.55,49.67
illusion,InfiniDepth-vitl,10,calib_ro,20.71,536.55,35.35
illusion,InfiniDepth-vitl,10,calib_shift,48.62,536.55,52.84
illusion,InfiniDepth-vitl,10,calib_shift_ro,33.19,536.55,41.73
